naive_bayes_unigram_accuracy,naive_bayes_unigram_precision,naive_bayes_unigram_recall,naive_bayes_unigram_fscore,logistic_regression_unigram_accuracy,logistic_regression_unigram_precision,logistic_regression_unigram_recall,logistic_regression_unigram_fscore,random_forest_unigram_accuracy,random_forest_unigram_precision,random_forest_unigram_recall,random_forest_unigram_fscore,decision_tree_unigram_accuracy,decision_tree_unigram_precision,decision_tree_unigram_recall,decision_tree_unigram_fscore,naive_bayes_bigram_accuracy,naive_bayes_bigram_precision,naive_bayes_bigram_recall,naive_bayes_bigram_fscore,logistic_regression_bigram_accuracy,logistic_regression_bigram_precision,logistic_regression_bigram_recall,logistic_regression_bigram_fscore,random_forest_bigram_accuracy,random_forest_bigram_precision,random_forest_bigram_recall,random_forest_bigram_fscore,decision_tree_bigram_accuracy,decision_tree_bigram_precision,decision_tree_bigram_recall,decision_tree_bigram_fscore
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75625,0.7252747252747253,0.825,0.7719298245614036,0.81875,0.7865168539325843,0.875,0.8284023668639053,0.5875,0.6206896551724138,0.45,0.5217391304347826,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7553191489361702,0.8875,0.8160919540229885,0.7875,0.7211538461538461,0.9375,0.8152173913043477,0.7125,0.6847826086956522,0.7875,0.7325581395348837
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.8,0.7608695652173914,0.875,0.813953488372093,0.81875,0.7865168539325843,0.875,0.8284023668639053,0.64375,0.6575342465753424,0.6,0.6274509803921569,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7525773195876289,0.9125,0.8248587570621468,0.8,0.7307692307692307,0.95,0.8260869565217392,0.7,0.6818181818181818,0.75,0.7142857142857143
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.75,0.825,0.7857142857142856,0.81875,0.7865168539325843,0.875,0.8284023668639053,0.59375,0.6086956521739131,0.525,0.563758389261745,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.78125,0.7272727272727273,0.9,0.8044692737430167,0.775,0.72,0.9,0.7999999999999999,0.7125,0.6976744186046512,0.75,0.7228915662650603
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75,0.7127659574468085,0.8375,0.7701149425287356,0.79375,0.7831325301204819,0.8125,0.7975460122699387,0.54375,0.5346534653465347,0.675,0.5966850828729282,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.8125,0.75,0.9375,0.8333333333333334,0.69375,0.691358024691358,0.7,0.6956521739130435
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75,0.7222222222222222,0.8125,0.7647058823529411,0.80625,0.788235294117647,0.8375,0.8121212121212121,0.625,0.6136363636363636,0.675,0.6428571428571429,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.8125,0.75,0.9375,0.8333333333333334,0.68125,0.6629213483146067,0.7375,0.698224852071006
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.81875,0.7741935483870968,0.9,0.8323699421965317,0.7875,0.7613636363636364,0.8375,0.7976190476190477,0.5625,0.578125,0.4625,0.513888888888889,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7608695652173914,0.875,0.813953488372093,0.81875,0.7575757575757576,0.9375,0.8379888268156425,0.63125,0.6153846153846154,0.7,0.6549707602339182
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7471264367816092,0.8125,0.778443113772455,0.79375,0.7764705882352941,0.825,0.8,0.625,0.6923076923076923,0.45,0.5454545454545455,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.8125,0.7604166666666666,0.9125,0.8295454545454546,0.68125,0.6559139784946236,0.7625,0.7052023121387283
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7362637362637363,0.8375,0.7836257309941521,0.81875,0.8,0.85,0.8242424242424243,0.60625,0.6307692307692307,0.5125,0.5655172413793104,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.74,0.925,0.8222222222222222,0.825,0.7653061224489796,0.9375,0.8426966292134831,0.68125,0.6629213483146067,0.7375,0.698224852071006
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7340425531914894,0.8625,0.7931034482758621,0.80625,0.8024691358024691,0.8125,0.8074534161490683,0.5875,0.5972222222222222,0.5375,0.5657894736842105,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7422680412371134,0.9,0.8135593220338985,0.8,0.7307692307692307,0.95,0.8260869565217392,0.71875,0.6923076923076923,0.7875,0.7368421052631579
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.78125,0.7528089887640449,0.8375,0.7928994082840237,0.8,0.8,0.8,0.8000000000000002,0.56875,0.627906976744186,0.3375,0.43902439024390244,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.7875,0.7169811320754716,0.95,0.8172043010752688,0.7125,0.673469387755102,0.825,0.7415730337078652
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.79375,0.7582417582417582,0.8625,0.8070175438596491,0.825,0.8095238095238095,0.85,0.8292682926829269,0.5375,0.56,0.35,0.4307692307692308,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.7346938775510204,0.9,0.8089887640449438,0.80625,0.7378640776699029,0.95,0.8306010928961749,0.7,0.6777777777777778,0.7625,0.7176470588235294
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7555555555555555,0.85,0.7999999999999998,0.8,0.7857142857142857,0.825,0.8048780487804876,0.59375,0.5742574257425742,0.725,0.6408839779005525,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7473684210526316,0.8875,0.8114285714285715,0.81875,0.7575757575757576,0.9375,0.8379888268156425,0.6875,0.6595744680851063,0.775,0.7126436781609196
