,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
105,105,0.86875,2022-10-29 16:34:35.771116,2022-10-29 16:34:36.002328,0 days 00:00:00.231212,511,70.0,10,COMPLETE
106,106,0.840625,2022-10-29 16:34:36.002766,2022-10-29 16:34:36.292671,0 days 00:00:00.289905,511,70.0,70,COMPLETE
107,107,0.8625,2022-10-29 16:34:36.293111,2022-10-29 16:34:36.582112,0 days 00:00:00.289001,1061,70.0,10,COMPLETE
108,108,0.8390625,2022-10-29 16:34:36.582558,2022-10-29 16:34:37.276889,0 days 00:00:00.694331,3491,70.0,10,COMPLETE
109,109,0.8375,2022-10-29 16:34:37.277398,2022-10-29 16:34:37.648394,0 days 00:00:00.370996,871,70.0,110,COMPLETE
110,110,0.85,2022-10-29 16:34:37.648833,2022-10-29 16:34:38.051994,0 days 00:00:00.403161,1061,70.0,90,COMPLETE
111,111,0.8640625,2022-10-29 16:34:38.052434,2022-10-29 16:34:38.317124,0 days 00:00:00.264690,731,70.0,10,COMPLETE
112,112,0.8515625,2022-10-29 16:34:38.317824,2022-10-29 16:34:38.646809,0 days 00:00:00.328985,1251,70.0,10,COMPLETE
113,113,0.84375,2022-10-29 16:34:38.647283,2022-10-29 16:34:39.174205,0 days 00:00:00.526922,1191,70.0,50,COMPLETE
114,114,0.8640625,2022-10-29 16:34:39.174683,2022-10-29 16:34:39.489538,0 days 00:00:00.314855,311,70.0,10,COMPLETE
115,115,0.8421875,2022-10-29 16:34:39.490105,2022-10-29 16:34:39.839634,0 days 00:00:00.349529,381,70.0,70,COMPLETE
116,116,0.8359375,2022-10-29 16:34:39.840101,2022-10-29 16:34:40.013641,0 days 00:00:00.173540,321,10.0,10,COMPLETE
117,117,0.840625,2022-10-29 16:34:40.014109,2022-10-29 16:34:40.319923,0 days 00:00:00.305814,491,50.0,50,COMPLETE
118,118,0.853125,2022-10-29 16:34:40.320552,2022-10-29 16:34:40.500777,0 days 00:00:00.180225,211,70.0,10,COMPLETE
119,119,0.8296875,2022-10-29 16:34:40.501242,2022-10-29 16:34:40.771425,0 days 00:00:00.270183,261,70.0,70,COMPLETE
120,120,0.834375,2022-10-29 16:34:40.771946,2022-10-29 16:34:41.122669,0 days 00:00:00.350723,661,90.0,90,COMPLETE
121,121,0.8390625,2022-10-29 16:34:41.123187,2022-10-29 16:34:41.425440,0 days 00:00:00.302253,861,70.0,30,COMPLETE
122,122,0.859375,2022-10-29 16:34:41.426021,2022-10-29 16:34:41.777200,0 days 00:00:00.351179,991,70.0,30,COMPLETE
123,123,0.8265625,2022-10-29 16:34:41.777672,2022-10-29 16:34:42.614231,0 days 00:00:00.836559,551,60.0,350,COMPLETE
124,124,0.8171875,2022-10-29 16:34:42.614702,2022-10-29 16:34:43.316508,0 days 00:00:00.701806,2701,70.0,50,COMPLETE
125,125,0.8484375,2022-10-29 16:34:43.316974,2022-10-29 16:34:43.824268,0 days 00:00:00.507294,2261,80.0,10,COMPLETE
126,126,0.8671875,2022-10-29 16:34:43.825271,2022-10-29 16:34:44.154477,0 days 00:00:00.329206,1131,20.0,30,COMPLETE
127,127,0.853125,2022-10-29 16:34:44.154968,2022-10-29 16:34:44.588555,0 days 00:00:00.433587,1091,20.0,50,COMPLETE
128,128,0.828125,2022-10-29 16:34:44.588999,2022-10-29 16:34:45.064503,0 days 00:00:00.475504,1501,20.0,110,COMPLETE
129,129,0.803125,2022-10-29 16:34:45.064980,2022-10-29 16:34:46.337344,0 days 00:00:01.272364,991,20.0,810,COMPLETE
130,130,0.8140625,2022-10-29 16:34:46.337839,2022-10-29 16:34:47.390115,0 days 00:00:01.052276,721,40.0,630,COMPLETE
131,131,0.8671875,2022-10-29 16:34:47.390668,2022-10-29 16:34:47.678380,0 days 00:00:00.287712,1181,70.0,10,COMPLETE
132,132,0.86875,2022-10-29 16:34:47.679088,2022-10-29 16:34:47.953877,0 days 00:00:00.274789,1151,70.0,10,COMPLETE
133,133,0.8359375,2022-10-29 16:34:47.954361,2022-10-29 16:34:48.306966,0 days 00:00:00.352605,1161,20.0,70,COMPLETE
