,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
87,87,0.6828125,2022-10-29 16:43:47.895584,2022-10-29 16:43:48.103311,0 days 00:00:00.207727,681,60.0,330,COMPLETE
88,88,0.7078125,2022-10-29 16:43:48.103734,2022-10-29 16:43:48.443552,0 days 00:00:00.339818,1401,60.0,390,COMPLETE
89,89,0.7359374999999999,2022-10-29 16:43:48.443997,2022-10-29 16:43:48.672522,0 days 00:00:00.228525,801,20.0,270,COMPLETE
90,90,0.6812499999999999,2022-10-29 16:43:48.672993,2022-10-29 16:43:48.961671,0 days 00:00:00.288678,1101,20.0,150,COMPLETE
91,91,0.7265625,2022-10-29 16:43:48.962148,2022-10-29 16:43:49.186080,0 days 00:00:00.223932,841,20.0,270,COMPLETE
92,92,0.7031249999999999,2022-10-29 16:43:49.186725,2022-10-29 16:43:49.455871,0 days 00:00:00.269146,971,20.0,350,COMPLETE
93,93,0.725,2022-10-29 16:43:49.456481,2022-10-29 16:43:49.618228,0 days 00:00:00.161747,631,,210,COMPLETE
94,94,0.7515625000000001,2022-10-29 16:43:49.618685,2022-10-29 16:43:49.895542,0 days 00:00:00.276857,511,60.0,310,COMPLETE
95,95,0.7046874999999999,2022-10-29 16:43:49.896007,2022-10-29 16:43:50.111161,0 days 00:00:00.215154,801,60.0,310,COMPLETE
96,96,0.6843750000000001,2022-10-29 16:43:50.111648,2022-10-29 16:43:50.266294,0 days 00:00:00.154646,551,60.0,290,COMPLETE
97,97,0.7281249999999999,2022-10-29 16:43:50.266752,2022-10-29 16:43:50.467724,0 days 00:00:00.200972,741,10.0,430,COMPLETE
98,98,0.7078125,2022-10-29 16:43:50.468147,2022-10-29 16:43:50.554953,0 days 00:00:00.086806,201,60.0,250,COMPLETE
99,99,0.6796875,2022-10-29 16:43:50.555408,2022-10-29 16:43:50.790034,0 days 00:00:00.234626,901,70.0,370,COMPLETE
100,100,0.7203124999999999,2022-10-29 16:43:50.790459,2022-10-29 16:43:50.948235,0 days 00:00:00.157776,581,20.0,210,COMPLETE
101,101,0.759375,2022-10-29 16:43:50.948692,2022-10-29 16:43:51.089206,0 days 00:00:00.140514,441,60.0,330,COMPLETE
