,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
103,103,0.8687499999999999,2022-10-29 16:11:37.761743,2022-10-29 16:11:38.087418,0 days 00:00:00.325675,4951,1281,COMPLETE
104,104,0.890625,2022-10-29 16:11:38.087887,2022-10-29 16:11:38.519711,0 days 00:00:00.431824,4521,1681,COMPLETE
105,105,0.884375,2022-10-29 16:11:38.520153,2022-10-29 16:11:38.912872,0 days 00:00:00.392719,4531,1541,COMPLETE
106,106,0.86875,2022-10-29 16:11:38.913277,2022-10-29 16:11:39.425885,0 days 00:00:00.512608,4461,2171,COMPLETE
107,107,0.8890625000000001,2022-10-29 16:11:39.426308,2022-10-29 16:11:39.889300,0 days 00:00:00.462992,3501,1681,COMPLETE
108,108,0.8765625,2022-10-29 16:11:39.889706,2022-10-29 16:11:40.290651,0 days 00:00:00.400945,2361,1671,COMPLETE
109,109,0.875,2022-10-29 16:11:40.291079,2022-10-29 16:11:40.743115,0 days 00:00:00.452036,3971,1881,COMPLETE
110,110,0.859375,2022-10-29 16:11:40.743513,2022-10-29 16:11:41.226826,0 days 00:00:00.483313,4781,2021,COMPLETE
111,111,0.8890625000000001,2022-10-29 16:11:41.227298,2022-10-29 16:11:41.679890,0 days 00:00:00.452592,4571,1731,COMPLETE
112,112,0.8687499999999999,2022-10-29 16:11:41.680493,2022-10-29 16:11:42.320982,0 days 00:00:00.640489,3521,1801,COMPLETE
113,113,0.8781249999999999,2022-10-29 16:11:42.321442,2022-10-29 16:11:42.767869,0 days 00:00:00.446427,3351,1451,COMPLETE
114,114,0.875,2022-10-29 16:11:42.768281,2022-10-29 16:11:43.196832,0 days 00:00:00.428551,4591,1721,COMPLETE
115,115,0.8843749999999999,2022-10-29 16:11:43.197299,2022-10-29 16:11:43.593475,0 days 00:00:00.396176,2981,1601,COMPLETE
116,116,0.86875,2022-10-29 16:11:43.594084,2022-10-29 16:11:44.105856,0 days 00:00:00.511772,4651,1921,COMPLETE
117,117,0.871875,2022-10-29 16:11:44.106255,2022-10-29 16:11:44.487870,0 days 00:00:00.381615,4341,1481,COMPLETE
118,118,0.8640625000000001,2022-10-29 16:11:44.488305,2022-10-29 16:11:44.788006,0 days 00:00:00.299701,4801,1211,COMPLETE
119,119,0.8671875,2022-10-29 16:11:44.788413,2022-10-29 16:11:45.143465,0 days 00:00:00.355052,4921,1351,COMPLETE
120,120,0.8703125,2022-10-29 16:11:45.144024,2022-10-29 16:11:45.606727,0 days 00:00:00.462703,4441,1651,COMPLETE
121,121,0.8968750000000001,2022-10-29 16:11:45.607179,2022-10-29 16:11:46.094428,0 days 00:00:00.487249,4671,1551,COMPLETE
122,122,0.8890625000000001,2022-10-29 16:11:46.094854,2022-10-29 16:11:46.532256,0 days 00:00:00.437402,4661,1781,COMPLETE
123,123,0.8859374999999999,2022-10-29 16:11:46.532670,2022-10-29 16:11:46.975963,0 days 00:00:00.443293,4661,1771,COMPLETE
124,124,0.865625,2022-10-29 16:11:46.976408,2022-10-29 16:11:47.698295,0 days 00:00:00.721887,4561,1961,COMPLETE
125,125,0.88125,2022-10-29 16:11:47.698749,2022-10-29 16:11:48.360973,0 days 00:00:00.662224,5001,1701,COMPLETE
126,126,0.8609375,2022-10-29 16:11:48.361425,2022-10-29 16:11:48.943938,0 days 00:00:00.582513,4801,1861,COMPLETE
127,127,0.8703125,2022-10-29 16:11:48.944444,2022-10-29 16:11:49.670076,0 days 00:00:00.725632,4691,2081,COMPLETE
128,128,0.8765624999999999,2022-10-29 16:11:49.670535,2022-10-29 16:11:50.077451,0 days 00:00:00.406916,4871,1391,COMPLETE
129,129,0.8875,2022-10-29 16:11:50.077895,2022-10-29 16:11:50.507268,0 days 00:00:00.429373,4521,1591,COMPLETE
130,130,0.8734375000000001,2022-10-29 16:11:50.507738,2022-10-29 16:11:50.902353,0 days 00:00:00.394615,4371,1481,COMPLETE
131,131,0.8906249999999999,2022-10-29 16:11:50.902823,2022-10-29 16:11:51.352447,0 days 00:00:00.449624,4711,1641,COMPLETE
132,132,0.8859375,2022-10-29 16:11:51.352955,2022-10-29 16:11:51.784911,0 days 00:00:00.431956,4741,1761,COMPLETE
133,133,0.8921874999999999,2022-10-29 16:11:51.785325,2022-10-29 16:11:52.196189,0 days 00:00:00.410864,4611,1641,COMPLETE
134,134,0.8843749999999999,2022-10-29 16:11:52.196658,2022-10-29 16:11:52.651424,0 days 00:00:00.454766,4871,1641,COMPLETE
135,135,0.8843749999999999,2022-10-29 16:11:52.651834,2022-10-29 16:11:53.032901,0 days 00:00:00.381067,4651,1541,COMPLETE
136,136,0.8640625,2022-10-29 16:11:53.033318,2022-10-29 16:11:53.354705,0 days 00:00:00.321387,4461,1281,COMPLETE
137,137,0.8718750000000001,2022-10-29 16:11:53.355154,2022-10-29 16:11:53.716791,0 days 00:00:00.361637,4581,1421,COMPLETE
138,138,0.8734375,2022-10-29 16:11:53.717255,2022-10-29 16:11:54.168365,0 days 00:00:00.451110,4741,1831,COMPLETE
139,139,0.8937499999999999,2022-10-29 16:11:54.168781,2022-10-29 16:11:54.576189,0 days 00:00:00.407408,4911,1591,COMPLETE
140,140,0.8453125000000001,2022-10-29 16:11:54.576637,2022-10-29 16:11:54.866375,0 days 00:00:00.289738,4911,1121,COMPLETE
141,141,0.8718750000000001,2022-10-29 16:11:54.866839,2022-10-29 16:11:55.287657,0 days 00:00:00.420818,4791,1631,COMPLETE
142,142,0.8890625,2022-10-29 16:11:55.288126,2022-10-29 16:11:55.770538,0 days 00:00:00.482412,4591,1691,COMPLETE
143,143,0.865625,2022-10-29 16:11:55.770982,2022-10-29 16:11:56.214715,0 days 00:00:00.443733,4901,1511,COMPLETE
144,144,0.8921875,2022-10-29 16:11:56.215161,2022-10-29 16:11:56.659245,0 days 00:00:00.444084,4801,1581,COMPLETE
145,145,0.8765624999999999,2022-10-29 16:11:56.659657,2022-10-29 16:11:57.028999,0 days 00:00:00.369342,4721,1371,COMPLETE
146,146,0.9,2022-10-29 16:11:57.029451,2022-10-29 16:11:57.411991,0 days 00:00:00.382540,4821,1571,COMPLETE
147,147,0.8671875,2022-10-29 16:11:57.412419,2022-10-29 16:11:57.725692,0 days 00:00:00.313273,4981,1281,COMPLETE
148,148,0.8796875,2022-10-29 16:11:57.726111,2022-10-29 16:11:58.073483,0 days 00:00:00.347372,4831,1391,COMPLETE
149,149,0.8890625000000001,2022-10-29 16:11:58.073905,2022-10-29 16:11:58.560595,0 days 00:00:00.486690,4791,1591,COMPLETE
150,150,0.878125,2022-10-29 16:11:58.561133,2022-10-29 16:11:59.088115,0 days 00:00:00.526982,4461,1491,COMPLETE
151,151,0.890625,2022-10-29 16:11:59.088586,2022-10-29 16:11:59.509239,0 days 00:00:00.420653,4821,1581,COMPLETE
152,152,0.8796875000000001,2022-10-29 16:11:59.509745,2022-10-29 16:11:59.925595,0 days 00:00:00.415850,5001,1541,COMPLETE
153,153,0.8828125,2022-10-29 16:11:59.926030,2022-10-29 16:12:00.365847,0 days 00:00:00.439817,4871,1611,COMPLETE
154,154,0.8859374999999999,2022-10-29 16:12:00.366307,2022-10-29 16:12:00.850784,0 days 00:00:00.484477,4711,1451,COMPLETE
155,155,0.875,2022-10-29 16:12:00.851262,2022-10-29 16:12:01.497197,0 days 00:00:00.645935,4651,1881,COMPLETE
156,156,0.8359375,2022-10-29 16:12:01.497656,2022-10-29 16:12:02.310731,0 days 00:00:00.813075,4811,3081,COMPLETE
157,157,0.8796875,2022-10-29 16:12:02.311236,2022-10-29 16:12:02.836348,0 days 00:00:00.525112,4531,1721,COMPLETE
158,158,0.8843749999999999,2022-10-29 16:12:02.836791,2022-10-29 16:12:03.386686,0 days 00:00:00.549895,4921,1561,COMPLETE
159,159,0.865625,2022-10-29 16:12:03.387167,2022-10-29 16:12:03.727381,0 days 00:00:00.340214,4721,1331,COMPLETE
160,160,0.8625,2022-10-29 16:12:03.727846,2022-10-29 16:12:04.181688,0 days 00:00:00.453842,1551,1811,COMPLETE
161,161,0.890625,2022-10-29 16:12:04.182117,2022-10-29 16:12:04.580066,0 days 00:00:00.397949,4811,1561,COMPLETE
162,162,0.89375,2022-10-29 16:12:04.580501,2022-10-29 16:12:05.009005,0 days 00:00:00.428504,5001,1641,COMPLETE
163,163,0.8875,2022-10-29 16:12:05.009467,2022-10-29 16:12:05.384345,0 days 00:00:00.374878,4991,1491,COMPLETE
164,164,0.896875,2022-10-29 16:12:05.384800,2022-10-29 16:12:05.828712,0 days 00:00:00.443912,4851,1591,COMPLETE
165,165,0.878125,2022-10-29 16:12:05.829186,2022-10-29 16:12:06.194092,0 days 00:00:00.364906,4891,1411,COMPLETE
166,166,0.8703125,2022-10-29 16:12:06.194530,2022-10-29 16:12:06.607855,0 days 00:00:00.413325,4601,1711,COMPLETE
167,167,0.8546875,2022-10-29 16:12:06.608461,2022-10-29 16:12:07.009578,0 days 00:00:00.401117,1041,1611,COMPLETE
168,168,0.8546875,2022-10-29 16:12:07.010222,2022-10-29 16:12:07.324414,0 days 00:00:00.314192,4861,1201,COMPLETE
169,169,0.8859375,2022-10-29 16:12:07.324926,2022-10-29 16:12:07.712114,0 days 00:00:00.387188,5001,1511,COMPLETE
170,170,0.8765625000000001,2022-10-29 16:12:07.712602,2022-10-29 16:12:08.173230,0 days 00:00:00.460628,4761,1781,COMPLETE
171,171,0.8875,2022-10-29 16:12:08.173711,2022-10-29 16:12:08.664765,0 days 00:00:00.491054,4801,1581,COMPLETE
172,172,0.8671875,2022-10-29 16:12:08.665254,2022-10-29 16:12:09.137484,0 days 00:00:00.472230,4631,1671,COMPLETE
173,173,0.8765624999999999,2022-10-29 16:12:09.137943,2022-10-29 16:12:09.572473,0 days 00:00:00.434530,4851,1441,COMPLETE
174,174,0.890625,2022-10-29 16:12:09.572979,2022-10-29 16:12:09.961279,0 days 00:00:00.388300,4501,1551,COMPLETE
175,175,0.8687500000000001,2022-10-29 16:12:09.961765,2022-10-29 16:12:10.498047,0 days 00:00:00.536282,4401,1941,COMPLETE
176,176,0.8703125,2022-10-29 16:12:10.498515,2022-10-29 16:12:10.832425,0 days 00:00:00.333910,4471,1331,COMPLETE
177,177,0.8671875,2022-10-29 16:12:10.832960,2022-10-29 16:12:11.217122,0 days 00:00:00.384162,4751,1541,COMPLETE
178,178,0.8765625,2022-10-29 16:12:11.217575,2022-10-29 16:12:11.575682,0 days 00:00:00.358107,4911,1441,COMPLETE
179,179,0.8703125,2022-10-29 16:12:11.576121,2022-10-29 16:12:12.055461,0 days 00:00:00.479340,4541,1701,COMPLETE
180,180,0.8796875,2022-10-29 16:12:12.055915,2022-10-29 16:12:12.491978,0 days 00:00:00.436063,4311,1821,COMPLETE
181,181,0.8812500000000001,2022-10-29 16:12:12.492517,2022-10-29 16:12:12.917465,0 days 00:00:00.424948,4651,1611,COMPLETE
182,182,0.884375,2022-10-29 16:12:12.917912,2022-10-29 16:12:13.309463,0 days 00:00:00.391551,4751,1561,COMPLETE
183,183,0.8828125,2022-10-29 16:12:13.309903,2022-10-29 16:12:13.732984,0 days 00:00:00.423081,4851,1681,COMPLETE
184,184,0.8515624999999999,2022-10-29 16:12:13.733505,2022-10-29 16:12:14.150012,0 days 00:00:00.416507,531,1521,COMPLETE
185,185,0.884375,2022-10-29 16:12:14.150470,2022-10-29 16:12:14.623088,0 days 00:00:00.472618,4641,1751,COMPLETE
186,186,0.8921874999999999,2022-10-29 16:12:14.623908,2022-10-29 16:12:15.083603,0 days 00:00:00.459695,4931,1631,COMPLETE
187,187,0.8531249999999999,2022-10-29 16:12:15.084090,2022-10-29 16:12:15.748950,0 days 00:00:00.664860,5001,2681,COMPLETE
