,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
101,101,0.8125,2022-10-29 16:40:21.740817,2022-10-29 16:40:21.995927,0 days 00:00:00.255110,721,90.0,30,COMPLETE
102,102,0.846875,2022-10-29 16:40:21.996435,2022-10-29 16:40:22.195700,0 days 00:00:00.199265,581,90.0,10,COMPLETE
103,103,0.8265625,2022-10-29 16:40:22.196193,2022-10-29 16:40:22.469808,0 days 00:00:00.273615,541,90.0,50,COMPLETE
104,104,0.8,2022-10-29 16:40:22.470261,2022-10-29 16:40:22.799576,0 days 00:00:00.329315,491,90.0,110,COMPLETE
105,105,0.8234375,2022-10-29 16:40:22.800024,2022-10-29 16:40:23.000723,0 days 00:00:00.200699,571,90.0,10,COMPLETE
106,106,0.8109375,2022-10-29 16:40:23.001214,2022-10-29 16:40:23.305864,0 days 00:00:00.304650,781,60.0,70,COMPLETE
107,107,0.80625,2022-10-29 16:40:23.306325,2022-10-29 16:40:23.730978,0 days 00:00:00.424653,921,90.0,150,COMPLETE
108,108,0.821875,2022-10-29 16:40:23.731508,2022-10-29 16:40:24.049658,0 days 00:00:00.318150,601,100.0,90,COMPLETE
109,109,0.81875,2022-10-29 16:40:24.050120,2022-10-29 16:40:24.277566,0 days 00:00:00.227446,411,20.0,50,COMPLETE
110,110,0.8015625,2022-10-29 16:40:24.278023,2022-10-29 16:40:25.021382,0 days 00:00:00.743359,671,80.0,410,COMPLETE
111,111,0.8203125,2022-10-29 16:40:25.021851,2022-10-29 16:40:25.302044,0 days 00:00:00.280193,971,,30,COMPLETE
112,112,0.828125,2022-10-29 16:40:25.302514,2022-10-29 16:40:25.542282,0 days 00:00:00.239768,881,,10,COMPLETE
113,113,0.821875,2022-10-29 16:40:25.542750,2022-10-29 16:40:25.742972,0 days 00:00:00.200222,851,10.0,10,COMPLETE
114,114,0.8171875,2022-10-29 16:40:25.743442,2022-10-29 16:40:26.018018,0 days 00:00:00.274576,241,60.0,70,COMPLETE
115,115,0.809375,2022-10-29 16:40:26.018528,2022-10-29 16:40:26.307079,0 days 00:00:00.288551,1021,40.0,30,COMPLETE
116,116,0.8359375,2022-10-29 16:40:26.307553,2022-10-29 16:40:26.549031,0 days 00:00:00.241478,321,,50,COMPLETE
117,117,0.8125,2022-10-29 16:40:26.549505,2022-10-29 16:40:26.884446,0 days 00:00:00.334941,481,,110,COMPLETE
118,118,0.7984375,2022-10-29 16:40:26.884867,2022-10-29 16:40:27.234367,0 days 00:00:00.349500,321,90.0,130,COMPLETE
119,119,0.83125,2022-10-29 16:40:27.234819,2022-10-29 16:40:27.470909,0 days 00:00:00.236090,381,60.0,50,COMPLETE
120,120,0.784375,2022-10-29 16:40:27.471358,2022-10-29 16:40:28.499559,0 days 00:00:01.028201,591,100.0,950,COMPLETE
121,121,0.8015625,2022-10-29 16:40:28.500020,2022-10-29 16:40:28.662224,0 days 00:00:00.162204,131,,10,COMPLETE
122,122,0.8296875,2022-10-29 16:40:28.662674,2022-10-29 16:40:29.014963,0 days 00:00:00.352289,651,,70,COMPLETE
123,123,0.8125,2022-10-29 16:40:29.015426,2022-10-29 16:40:29.244233,0 days 00:00:00.228807,371,60.0,50,COMPLETE
124,124,0.8296875,2022-10-29 16:40:29.244691,2022-10-29 16:40:29.605563,0 days 00:00:00.360872,531,60.0,90,COMPLETE
125,125,0.8234375,2022-10-29 16:40:29.606127,2022-10-29 16:40:29.804430,0 days 00:00:00.198303,241,,30,COMPLETE
126,126,0.825,2022-10-29 16:40:29.804851,2022-10-29 16:40:30.045600,0 days 00:00:00.240749,431,60.0,50,COMPLETE
127,127,0.8328125,2022-10-29 16:40:30.046072,2022-10-29 16:40:30.270261,0 days 00:00:00.224189,731,,10,COMPLETE
128,128,0.8171875,2022-10-29 16:40:30.270733,2022-10-29 16:40:30.494385,0 days 00:00:00.223652,721,50.0,10,COMPLETE
129,129,0.8171875,2022-10-29 16:40:30.494830,2022-10-29 16:40:30.806100,0 days 00:00:00.311270,791,30.0,70,COMPLETE
130,130,0.8328125,2022-10-29 16:40:30.806579,2022-10-29 16:40:31.109558,0 days 00:00:00.302979,1091,,30,COMPLETE
131,131,0.778125,2022-10-29 16:40:31.110043,2022-10-29 16:40:32.374385,0 days 00:00:01.264342,1071,,750,COMPLETE
132,132,0.809375,2022-10-29 16:40:32.374858,2022-10-29 16:40:32.708929,0 days 00:00:00.334071,1261,,30,COMPLETE
133,133,0.803125,2022-10-29 16:40:32.709357,2022-10-29 16:40:32.978169,0 days 00:00:00.268812,1121,,10,COMPLETE
134,134,0.809375,2022-10-29 16:40:32.978648,2022-10-29 16:40:33.253425,0 days 00:00:00.274777,691,,50,COMPLETE
135,135,0.8390625,2022-10-29 16:40:33.253930,2022-10-29 16:40:33.592693,0 days 00:00:00.338763,831,40.0,90,COMPLETE
136,136,0.8125,2022-10-29 16:40:33.593164,2022-10-29 16:40:33.958177,0 days 00:00:00.365013,821,40.0,110,COMPLETE
137,137,0.81875,2022-10-29 16:40:33.958661,2022-10-29 16:40:34.314131,0 days 00:00:00.355470,931,40.0,90,COMPLETE
138,138,0.8265625,2022-10-29 16:40:34.314614,2022-10-29 16:40:34.652710,0 days 00:00:00.338096,1001,40.0,70,COMPLETE
139,139,0.8203125,2022-10-29 16:40:34.653186,2022-10-29 16:40:34.910375,0 days 00:00:00.257189,761,90.0,30,COMPLETE
140,140,0.8171875,2022-10-29 16:40:34.910851,2022-10-29 16:40:35.315070,0 days 00:00:00.404219,861,40.0,130,COMPLETE
141,141,0.85,2022-10-29 16:40:35.315545,2022-10-29 16:40:35.605555,0 days 00:00:00.290010,641,,30,COMPLETE
142,142,0.8203125,2022-10-29 16:40:35.606240,2022-10-29 16:40:35.867958,0 days 00:00:00.261718,641,90.0,50,COMPLETE
143,143,0.834375,2022-10-29 16:40:35.868442,2022-10-29 16:40:36.098882,0 days 00:00:00.230440,741,,10,COMPLETE
144,144,0.8125,2022-10-29 16:40:36.099365,2022-10-29 16:40:36.324999,0 days 00:00:00.225634,721,100.0,10,COMPLETE
145,145,0.8140625,2022-10-29 16:40:36.325513,2022-10-29 16:40:36.701033,0 days 00:00:00.375520,891,,90,COMPLETE
146,146,0.8296875,2022-10-29 16:40:36.701539,2022-10-29 16:40:36.926218,0 days 00:00:00.224679,581,20.0,30,COMPLETE
147,147,0.81875,2022-10-29 16:40:36.926701,2022-10-29 16:40:37.211468,0 days 00:00:00.284767,831,10.0,70,COMPLETE
148,148,0.8140625,2022-10-29 16:40:37.211945,2022-10-29 16:40:37.495583,0 days 00:00:00.283638,1071,,10,COMPLETE
149,149,0.8265625,2022-10-29 16:40:37.496029,2022-10-29 16:40:37.780544,0 days 00:00:00.284515,771,,50,COMPLETE
150,150,0.8125,2022-10-29 16:40:37.781028,2022-10-29 16:40:38.135679,0 days 00:00:00.354651,971,,90,COMPLETE
151,151,0.834375,2022-10-29 16:40:38.136159,2022-10-29 16:40:38.389150,0 days 00:00:00.252991,691,,30,COMPLETE
152,152,0.8328125,2022-10-29 16:40:38.389697,2022-10-29 16:40:38.627461,0 days 00:00:00.237764,641,,30,COMPLETE
153,153,0.8109375,2022-10-29 16:40:38.627942,2022-10-29 16:40:38.933487,0 days 00:00:00.305545,901,,50,COMPLETE
154,154,0.8359375,2022-10-29 16:40:38.933974,2022-10-29 16:40:39.160097,0 days 00:00:00.226123,691,80.0,10,COMPLETE
