,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
178,178,0.70625,2022-10-29 16:53:46.874314,2022-10-29 16:53:46.909170,0 days 00:00:00.034856,1,20.0,870,COMPLETE
179,179,0.709375,2022-10-29 16:53:46.909608,2022-10-29 16:53:46.974712,0 days 00:00:00.065104,131,20.0,890,COMPLETE
180,180,0.728125,2022-10-29 16:53:46.975161,2022-10-29 16:53:47.032441,0 days 00:00:00.057280,61,20.0,530,COMPLETE
181,181,0.73125,2022-10-29 16:53:47.033028,2022-10-29 16:53:47.086736,0 days 00:00:00.053708,91,20.0,590,COMPLETE
182,182,0.715625,2022-10-29 16:53:47.087408,2022-10-29 16:53:47.132903,0 days 00:00:00.045495,41,20.0,570,COMPLETE
183,183,0.7046874999999999,2022-10-29 16:53:47.133334,2022-10-29 16:53:47.207172,0 days 00:00:00.073838,161,20.0,550,COMPLETE
184,184,0.7125,2022-10-29 16:53:47.207644,2022-10-29 16:53:47.264334,0 days 00:00:00.056690,101,80.0,590,COMPLETE
185,185,0.7328125,2022-10-29 16:53:47.264779,2022-10-29 16:53:47.314477,0 days 00:00:00.049698,71,20.0,550,COMPLETE
186,186,0.7296874999999999,2022-10-29 16:53:47.314922,2022-10-29 16:53:47.400111,0 days 00:00:00.085189,221,20.0,590,COMPLETE
187,187,0.7296874999999999,2022-10-29 16:53:47.400606,2022-10-29 16:53:47.465108,0 days 00:00:00.064502,121,20.0,610,COMPLETE
188,188,0.725,2022-10-29 16:53:47.465622,2022-10-29 16:53:47.527273,0 days 00:00:00.061651,121,20.0,530,COMPLETE
189,189,0.7234375,2022-10-29 16:53:47.527815,2022-10-29 16:53:47.583908,0 days 00:00:00.056093,81,20.0,510,COMPLETE
190,190,0.6953125,2022-10-29 16:53:47.584520,2022-10-29 16:53:47.660021,0 days 00:00:00.075501,151,20.0,530,COMPLETE
191,191,0.71875,2022-10-29 16:53:47.660472,2022-10-29 16:53:47.747600,0 days 00:00:00.087128,211,20.0,570,COMPLETE
192,192,0.7093750000000001,2022-10-29 16:53:47.748053,2022-10-29 16:53:47.799586,0 days 00:00:00.051533,61,20.0,590,COMPLETE
193,193,0.715625,2022-10-29 16:53:47.800032,2022-10-29 16:53:47.884441,0 days 00:00:00.084409,111,20.0,490,COMPLETE
194,194,0.7000000000000001,2022-10-29 16:53:47.885123,2022-10-29 16:53:47.999428,0 days 00:00:00.114305,251,20.0,610,COMPLETE
